Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"ScreenSketchWide310x150Logo.scale-200_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.ScreenSketch_10.1907.2471.0_x64__8wekyb3d8bbwe/Assets/ScreenSketchWide310x150Logo.scale-200_contrast-black.png",,,application/octet-stream,png
"Microsoft.SkypeApp_14.53.77.0_neutral_split.scale-125_kzf8qxf38zg5c","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.SkypeApp_14.53.77.0_neutral_split.scale-125_kzf8qxf38zg5c",,,application/octet-stream,
"AppList.targetsize-30_altform-unplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/AppList.targetsize-30_altform-unplated.png",,,application/octet-stream,png
"AppList.targetsize-72_altform-unplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/AppList.targetsize-72_altform-unplated.png",,,application/octet-stream,png
"AppList.targetsize-256_altform-unplated_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-256_altform-unplated_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-48_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-48_contrast-black.png",,,application/octet-stream,png
"BadgeLogo.scale-100_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-black/BadgeLogo.scale-100_contrast-black.png",,,application/octet-stream,png
"MedTile.scale-200_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-black/MedTile.scale-200_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-256_altform-unplated_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-white/AppList.targetsize-256_altform-unplated_contrast-white.png",,,application/octet-stream,png
"AppList.targetsize-48_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-white/AppList.targetsize-48_contrast-white.png",,,application/octet-stream,png
"BadgeLogo.scale-100_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-white/BadgeLogo.scale-100_contrast-white.png",,,application/octet-stream,png
"MedTile.scale-200_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/contrast-white/MedTile.scale-200_contrast-white.png",,,application/octet-stream,png
LargeTile.scale-150.png,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.VP9VideoExtensions_1.0.22681.0_x64__8wekyb3d8bbwe/Assets/LargeTile.scale-150.png",,,application/octet-stream,png
"Microsoft.Wallet_2.4.18324.0_neutral_~_8wekyb3d8bbwe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Wallet_2.4.18324.0_neutral_~_8wekyb3d8bbwe",,,application/octet-stream,
"Microsoft.WebMediaExtensions_1.0.20875.0_neutral_split.scale-125_8wekyb3d8bbwe","2019-12-07 10:58:36 CET","2026-02-21 15:41:24 CET","2026-02-21 23:32:56 CET","2019-12-07 10:58:36 CET",56,Unallocated,Allocated,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.WebMediaExtensions_1.0.20875.0_neutral_split.scale-125_8wekyb3d8bbwe",,,,
"AppList.targetsize-36.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.WebMediaExtensions_1.0.20875.0_x64__8wekyb3d8bbwe/Assets/AppList.targetsize-36.png",,,application/octet-stream,png
"AppList.targetsize-30_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.WebMediaExtensions_1.0.20875.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-30_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-64_altform-unplated_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.WebMediaExtensions_1.0.20875.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-64_altform-unplated_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-30_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.WebMediaExtensions_1.0.20875.0_x64__8wekyb3d8bbwe/Assets/contrast-white/AppList.targetsize-30_contrast-white.png",,,application/octet-stream,png
